word,centrality,community
free,0.30857178562532955,Community 3
energy,0.25716287013637085,Community 3
principle,0.17469877297618477,Community 3
active,0.10299342817471972,Community 3
inference,0.13771973338907534,Community 3
fep,0.2636406549162261,Community 3
cognitive,0.15019515875499173,Community 4
science,0.04231190775977188,Community 6
provide,0.006348212784827738,Community 9
framework,0.0256283005120446,Community 1
understand,0.07052182173883172,Community 1
perception,0.0869178975415625,Community 1
learning,0.35183703368553365,Community 1
decision,0.09762992128535343,Community 1
making,0.10736634002226597,Community 1
biological,0.09676620293327377,Community 1
system,0.16077135640370813,Community 1
guide,1.2051656569856838e-05,Community 2
aim,1.8300923042181e-06,Community 2
academic,0.00048648007087168365,Community 2
background,7.387353179497945e-05,Community 2
high,0.0025629235523073304,Community 2
school,0.002510404261450756,Community 2
student,0.01396879155984416,Community 2
technology,0.006425268977112163,Community 6
stem,2.7068991131068677e-21,Community 17
field,2.7068991131068677e-21,Community 17
digital,0.022803159280571486,Community 1
tool,0.14669728466005935,Community 1
ai,0.20731365601221183,Community 1
education,0.031483716008674945,Community 1
source,0.0546913989089585,Community 1
highschoolstudentworldview,0.008305533820468239,Community 1
social,0.0013280127420712024,Community 4
medium,0.008745614653604182,Community 4
platform,0.05626558240036533,Community 4
advanced,0.0038825719794131383,Community 4
scientific,0.025568621007858547,Community 4
concept,0.10567744490050388,Community 4
like,0.3617842339554755,Community 4
methodological,2.7068991131068677e-21,Community 18
experience,2.7068991131068677e-21,Community 18
theory,0.058820141637707275,Community 4
practical,2.7068991131068677e-21,Community 19
application,2.7068991131068677e-21,Community 19
real,0.0298771054920624,Community 3
world,0.022051257141751466,Community 7
neural,0.08798786094207761,Community 1
network,0.06679206022251725,Community 1
predictive,0.0032261793797388294,Community 10
coding,0.0004899840965068549,Community 10
similar,0.0004899840965068549,Community 10
generative,0.060679994094391114,Community 1
models,0.04915180941202518,Community 1
model,0.07822115136109013,Community 7
brain,0.013410076410954012,Community 10
act,0.0004894743420907451,Community 8
confirm,0.0032234582790505477,Community 8
prediction,0.02073852640478991,Community 8
analogies,2.7068991131068677e-21,Community 20
metaphors,2.7068991131068677e-21,Community 20
navigation,0.024414594228653858,Community 1
constantly,0.0024305657549073883,Community 10
update,0.003995588981265054,Community 10
base,0.0023624451974539034,Community 9
video,2.7068991131068677e-21,Community 21
game,2.7068991131068677e-21,Community 21
continuously,0.02151959396254715,Community 10
feedback,0.0031050994460109444,Community 9
machine,0.13127870009390064,Community 1
reinforcement,0.053430090962532116,Community 1
psychology,0.02280790653769758,Community 4
map,0.02280790653769758,Community 4
reduce,2.7068991131068677e-21,Community 22
uncertainty,2.7068991131068677e-21,Community 22
hierarchical,0.026056200566241958,Community 10
processing,0.006852637268155504,Community 10
definition,0.08590775863606631,Community 3
minimize,0.10593392083601783,Community 3
variational,0.18654885056192383,Community 3
energy[2,0.11637355412316884,Community 3
generate,0.0051572973503489225,Community 8
internal,0.01522824808848382,Community 7
exemplify,0.0468573032627966,Community 3
minimization[2,0.08590775863606631,Community 3
see,0.01608615989784012,Community 3
attempt,0.01608615989784012,Community 3
plant,2.7068991131068677e-21,Community 23
growth,2.7068991131068677e-21,Community 23
mathematical,0.004970790762079936,Community 9
formalization,0.000754909001291626,Community 9
difference,0.0003857849287884452,Community 8
actual,0.002481958945457827,Community 8
sensory,0.010793681632444272,Community 8
input,0.005165084117289063,Community 8
predict,0.03443131878442469,Community 7
kl,2.7068991131068677e-21,Community 24
divergence,2.7068991131068677e-21,Community 24
measure,5.8581647502689785e-05,Community 8
beliefs)[2,0.00440300801851751,Community 3
optimization,0.0289960582647619,Community 3
error,0.003149133892399526,Community 8
surprise[2,0.017121978873791025,Community 7
example,0.00682069352839212,Community 7
forage,2.7068991131068677e-21,Community 25
animal,2.7068991131068677e-21,Community 25
motor,1.390132543828049e-18,Community 16
control,1.9659442969778375e-18,Community 16
use,0.10218870615533128,Community 4
errors[2,0.003149133892399526,Community 8
predator,2.7068991131068677e-21,Community 26
prey,2.7068991131068677e-21,Community 26
strategy,0.01608615989784012,Community 3
applications,0.029927812921562994,Community 1
process,0.053430090962532116,Community 1
balance,2.7068991131068677e-21,Community 27
exploration,2.7068991131068677e-21,Community 27
structure,0.003956913382480828,Community 10
visual,0.02673143795286223,Community 7
cortex,0.004059691207394522,Community 7
evidence,0.011879391671288233,Community 7
information[2,0.053430090962532116,Community 1
speech,2.7068991131068677e-21,Community 28
comprehension,2.7068991131068677e-21,Community 28
discomfort,0.001060273158788953,Community 7
feel,0.00016102034596766486,Community 7
approach,0.02832747714564361,Community 3
pomdps,0.02091286622709357,Community 3
autonomous,2.7068991131068677e-21,Community 29
vehicle,2.7068991131068677e-21,Community 29
tasks[2,0.0037951274930905264,Community 1
robotic,0.024990928212650875,Community 1
systems,0.031483716008674945,Community 1
artificial,2.7068991131068677e-21,Community 30
intelligence,2.7068991131068677e-21,Community 30
limitation,0.04087914190047121,Community 1
current,0.055656027328445754,Community 1
overcome,0.006208306266562716,Community 1
disorders,2.7068991131068677e-21,Community 31
anxiety,2.7068991131068677e-21,Community 31
threats[2,1.390132543828049e-18,Community 13
depression,1.9659442969778375e-18,Community 13
view,1.390132543828049e-18,Community 13
1,0.10030359102435464,Community 1
friston,0.04042882826507326,Community 5
karl,0.05048617139253412,Community 5
work,0.09520891662422747,Community 5
start,0.022125028110066756,Community 5
seminal,0.013567835021695732,Community 5
paper,0.04891766850520717,Community 5
principle[2,0.1044360528134938,Community 3
2,0.1220131442891618,Community 6
recent,0.0203143485674615,Community 6
publications,0.0036371419967516096,Community 6
include,0.0036371419967516096,Community 6
publication,0.004487413683852625,Community 6
tier,0.009236707638308642,Community 6
journal,0.05634015682008926,Community 6
nature,0.07000568720239041,Community 4
neuroscience,0.09922918933122271,Community 4
neuron,0.015068117544096276,Community 4
online,0.011321928460229062,Community 11
courses,0.0034040106660504286,Community 11
recommend,0.01109528724403291,Community 11
course,0.05834158032434456,Community 11
coursera,0.05674759285295853,Community 4
edx,0.011919562089713833,Community 4
cover,0.021746123119766647,Community 4
textbook,0.07045493430275117,Community 4
reference,0.0066563813700729,Community 5
community,0.0034026813213624517,Community 5
connections,0.01574932813544684,Community 5
encourage,0.0035851743833535702,Community 2
join,0.005895867805385969,Community 5
professional,0.02485665934112839,Community 5
association,0.058712222014800516,Community 5
society,0.056404318259221334,Community 4
research,0.024015939822590874,Community 2
groups,0.004062750832666327,Community 2
connect,0.002738165300235979,Community 2
group,0.018105365078468383,Community 2
relate,0.04126465277072379,Community 9
project,0.008097872407810396,Community 9
conferences,0.0005444123616685851,Community 2
attendance,0.009096462452979834,Community 2
conference,0.05631885966055813,Community 2
annual,0.05977948700969134,Community 4
meeting,0.03188547003986054,Community 4
mentorship,0.0006158113862519726,Community 5
opportunities,9.351572748652323e-05,Community 5
arrange,9.351572748652323e-05,Community 5
opportunity,0.0038681680839929063,Community 5
industry,0.053430090962532116,Community 1
explore,0.053430090962532116,Community 1
apply,0.04215616367718189,Community 2
case,1.9659442969778375e-18,Community 14
studies,1.390132543828049e-18,Community 14
study,1.390132543828049e-18,Community 14
limitations,0.008452546155402947,Community 1
compare,0.026574641391604405,Community 7
one,0.01469524972031617,Community 1
hand,2.7068991131068677e-21,Community 32
exercise,2.7068991131068677e-21,Community 32
problem,0.021877150594623064,Community 6
develop,0.009215547247947292,Community 1
python,2.7068991131068677e-21,Community 33
librarie,2.7068991131068677e-21,Community 33
software,0.02227728186436987,Community 1
learn,0.019936099925102244,Community 1
workshop,0.031483716008674945,Community 1
advisors,0.00046641196667717767,Community 2
ensure,0.0025849817583470753,Community 2
access,0.002587627415556764,Community 2
advisor,7.570362409919754e-05,Community 2
curriculum,1.8300923042181e-06,Community 2
tools,0.015232563201246824,Community 1
medical,1.8540199042473086e-17,Community 12
diagnosis,2.999867220890971e-17,Community 12
treatment,2.999867220890971e-17,Community 12
planning,1.8540199042473086e-17,Community 12
deep,0.053430090962532116,Community 1
integrate,0.0400349482283023,Community 3
offline,0.001719212325485585,Community 11
speed,0.0003983750777240314,Community 2
internet,6.049449759195272e-05,Community 2
peer,0.01942412782056723,Community 6
support,0.0029496451016664763,Community 6
discuss,0.003350919991301073,Community 9
assessment,0.0003587469185246738,Community 9
review,0.0029496451016664763,Community 6
mechanisms,0.00047153586349007104,Community 9
regular,1.390132543828049e-18,Community 15
check,1.9659442969778375e-18,Community 15
in,1.390132543828049e-18,Community 15
anonymous,0.00047153586349007104,Community 9
collaboration,0.003462884587810092,Community 1
version,1.390132543828049e-18,Community 16
